Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train_Time_sec
LightGBM,0.85305,0.3814143477150881,0.7432835820895523,0.5041336257803273,0.8899678580416429,73.99
Gaussian Naive Bayes,0.92015,0.710285132382892,0.34701492537313433,0.4662433155080214,0.8882247600242257,0.86
XGBoost,0.8351,0.34641068447412354,0.722636815920398,0.4683217797839755,0.8711461729706111,32.82
Logistic Regression,0.7834,0.2865416436845008,0.7753731343283582,0.4184454289166331,0.8598998891036755,2.63
